Method,Standard Deviation,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
estimate_variance_reduction_method,1,1000,38339.049685386686,0.004780781269073486,2036694835.2197032,0.023783382041914554,"1554272.6625132498, 1623719.075751352, 1633716.6788017973, 1553350.129919124, 1596380.1386604111, 1547730.325433585, 1647998.0239244492, 1583829.3751349738, 1644501.7417080614, 1543116.2243226708, 1642997.066931691, 1553805.576072674, 1581923.5801460294, 1637775.5676041134, 1596274.5660633815, 1620483.5186525853, 1632988.9198644722, 1608389.249299615, 1663923.5740598773, 1486271.346024951"
estimate_variance_reduction_method,1,2000,27214.173081564346,0.0049302101135253905,1156600751.096919,0.016882136637839926,"1620724.7186972646, 1592858.0338158996, 1627197.5222413156, 1623598.8257222923, 1624178.9933946861, 1652435.2199124068, 1608945.571564615, 1669733.135682483, 1576987.561574448, 1604620.3222089296, 1587012.3592905717, 1634617.8354145605, 1519547.7152830465, 1588940.5553729816, 1549341.8581624397, 1614708.0075791096, 1610532.5862601688, 1589168.154627342, 1572591.5025283482, 1570404.576324041"
estimate_variance_reduction_method,1,3000,38739.47258563099,0.00492103099822998,1540366471.8962696,0.024031781803854187,"1663427.1999771472, 1562156.1991846673, 1630284.7219614272, 1579245.1484376362, 1643220.7670306868, 1583316.4979280988, 1580024.9677855438, 1561329.8166364802, 1561853.863519666, 1642084.2372894564, 1637584.9630717533, 1575435.842048134, 1572860.8749944465, 1660064.576896443, 1634537.386544091, 1590664.632698422, 1573853.838161879, 1642976.9540425295, 1552389.8859896353, 1534299.7877163056"
estimate_variance_reduction_method,1,4000,32611.670150382328,0.004878926277160645,1312452398.172854,0.020230439110416394,"1610609.1866450713, 1568753.1828337482, 1595147.723960937, 1651504.8202205969, 1594111.5033411793, 1624364.234886475, 1623343.5745950444, 1544111.1244487409, 1568230.8050520972, 1545856.2375948585, 1638604.4396205908, 1557950.3182735944, 1562859.5068998365, 1519532.3626664, 1622449.149267875, 1649069.4738289826, 1611206.1722693641, 1590652.9734207198, 1617660.2933132462, 1577801.485318617"
estimate_variance_reduction_method,100,5,357542.07676852506,0.00466231107711792,195685634609.8405,0.22179891983829197,"1767039.0725212812, 1252789.3412726398, 1786293.3195242677, 1436907.1540013535, 1455835.848634544, 702339.3689213115, 1827620.0227849055, 1477392.391459476, 2288949.899128992, 1949508.0430139014, 1366043.4033711767, 2070067.3234636514, 1129709.9324583542, 792221.06544091, 1380241.2436870215, 1465607.962548132, 1927755.9219244728, 1731185.220041572, 2524576.543073344, 1736933.8816890316"
estimate_variance_reduction_method,100,100,103335.01802848071,0.004017198085784912,14300773595.409481,0.0641032115362068,"1511384.2062374398, 1374977.6225560473, 1456875.0412282173, 1587430.368313021, 1594169.9455701606, 1671907.8192686029, 1696035.86444225, 1693727.8439228728, 1572538.5239456028, 1705302.3870592022, 1512691.437769721, 1721972.7400002861, 1804089.4488330341, 1433338.9642906673, 1610062.8121165193, 1486160.6059314935, 1603726.314610825, 1480255.836564879, 1699340.3952951722, 1374124.4591172123"
estimate_variance_reduction_method,100,500,59809.06319725134,0.0040099859237670895,4968298336.250169,0.037102166362027116,"1544143.2223668797, 1513895.9822899082, 1653539.970146226, 1473519.910047681, 1654270.699165062, 1530746.5847669884, 1626014.3139047893, 1662187.8395260843, 1694956.7215147058, 1682418.439273638, 1478657.794067487, 1571105.2633268638, 1591159.2768936902, 1714870.0795555534, 1600870.1362805043, 1503774.7484210664, 1617183.0037596922, 1562860.2914998706, 1645079.8203971945, 1616393.586663021"
estimate_variance_reduction_method,100,1000,37352.576621600754,0.0044267535209655765,2338044320.0705495,0.023171429843239652,"1552058.9827416092, 1576328.0367955558, 1597673.5918647565, 1595959.9615465153, 1603807.7248314938, 1585256.847038659, 1723339.6801442963, 1632350.081128158, 1587649.4074228571, 1503565.406824151, 1586839.3683448278, 1564709.1513922552, 1667501.0082809927, 1606119.7764547945, 1605888.0792027803, 1694548.1564359989, 1592687.2426068177, 1645599.1781044677, 1625127.290572107, 1645069.714833068"
estimate_variance_reduction_method,100,2000,26818.432924829052,0.004629588127136231,1248273699.7830327,0.016636641785614883,"1654444.6783813762, 1546708.4423243024, 1604906.3511054378, 1594560.7329204797, 1596497.0140007588, 1580496.4079319406, 1583582.747691468, 1705974.8831610791, 1641096.3134254355, 1590820.8465460965, 1552199.5604123408, 1621984.15761475, 1613548.3809690326, 1588632.165401817, 1613676.4522188243, 1575139.3802750427, 1613150.7957715008, 1610855.5727334379, 1563525.0984477587, 1611642.6832545365"
estimate_variance_reduction_method,100,3000,28920.28029694022,0.0049828171730041506,1131453225.7288659,0.017940509238119007,"1604149.761979486, 1628823.3717486588, 1547947.537274615, 1632511.7578975912, 1632978.4736776855, 1582487.162598112, 1613523.0417247023, 1638780.9633051343, 1629962.6420001767, 1576107.2394177653, 1559010.3892734635, 1602965.6350949442, 1634694.694461366, 1572701.3040119794, 1585843.224307224, 1528076.8387110168, 1604359.028665534, 1617482.7386580284, 1533718.294926782, 1601025.661273617"
estimate_variance_reduction_method,100,4000,23619.642444317193,0.004834318161010742,890040430.4720033,0.014652292755204493,"1596857.7175205108, 1597639.7520391897, 1606277.904154809, 1608350.109930156, 1576848.5657463577, 1624022.35948217, 1643688.2035362066, 1658817.9614350589, 1611419.2791639033, 1631133.6644359033, 1576643.8307556144, 1647870.994388329, 1599748.0159384457, 1618213.477766553, 1619927.5118908568, 1539232.5637784197, 1599365.716126304, 1546823.834467461, 1603493.6870080566, 1580640.347419506"
